date,round,white_id,black_id,white_elo,black_elo,white_title,black_title,result
2019-09-12,1.3,24130737,5002150,2664.0,2658.0,GM,GM,1/2-1/2
2019-09-12,1.3,1204297,1202758,2629.0,2656.0,GM,GM,1/2-1/2
2019-09-12,1.3,4189302,112275,2662.0,2633.0,GM,GM,1-0
2019-09-12,1.3,1017063,14508150,2640.0,2667.0,GM,GM,1-0
2019-09-12,1.3,13402960,1130420,2632.0,2660.0,GM,GM,1-0
2019-09-12,1.3,24133795,24107581,2651.0,2657.0,GM,GM,0-1
2019-09-12,1.3,14117908,1207822,2674.0,2643.0,GM,GM,1-0
2019-09-12,1.4,8603820,12500739,2763.0,2544.0,GM,GM,1/2-1/2
2019-09-12,1.4,2016192,696358,2745.0,2540.0,GM,GM,1-0
2019-09-12,1.4,2107660,4158814,2558.0,2741.0,GM,GM,1/2-1/2
2019-09-12,1.4,13500139,12401137,2577.0,2708.0,GM,GM,1/2-1/2
2019-09-12,1.4,8608288,8601445,2576.0,2721.0,GM,GM,1/2-1/2
2019-09-12,1.4,8602883,4127870,2726.0,2599.0,GM,GM,1/2-1/2
2019-09-12,1.4,13402129,2004887,2593.0,2705.0,GM,GM,1/2-1/2
2019-09-12,1.4,4168003,14204118,2716.0,2608.0,GM,GM,1-0
2019-09-12,1.4,4147235,4101286,2718.0,2586.0,GM,GM,1-0
2019-09-12,1.4,10601457,12521213,2699.0,2642.0,GM,GM,1/2-1/2
2019-09-12,1.4,5072786,400041,2609.0,2694.0,GM,GM,1/2-1/2
2019-09-12,1.4,8603332,2805677,2602.0,2686.0,GM,GM,1/2-1/2
2019-09-12,1.4,3503631,404853,2615.0,2682.0,GM,GM,1/2-1/2
2019-09-12,1.4,5010608,14105730,2609.0,2679.0,GM,GM,0-1
2019-09-12,1.4,2285525,5058422,2674.0,2611.0,GM,GM,1-0
2019-09-12,1.4,2809052,5021596,2658.0,2624.0,GM,GM,1-0
2019-09-12,1.4,5002150,24130737,2658.0,2664.0,GM,GM,1/2-1/2
2019-09-12,1.4,1202758,1204297,2656.0,2629.0,GM,GM,1-0
2019-09-12,1.4,112275,4189302,2633.0,2662.0,GM,GM,1/2-1/2
2019-09-12,1.4,14508150,1017063,2667.0,2640.0,GM,GM,1/2-1/2
2019-09-12,1.4,1130420,13402960,2660.0,2632.0,GM,GM,1-0
2019-09-12,1.4,24107581,24133795,2657.0,2651.0,GM,GM,1/2-1/2
2019-09-12,1.4,1207822,14117908,2643.0,2674.0,GM,GM,1/2-1/2
2019-09-12,1.5,12500739,8603820,2544.0,2763.0,GM,GM,1/2-1/2
2019-09-12,1.5,8601445,8608288,2721.0,2576.0,GM,GM,0-1
2019-09-12,1.5,4127870,8602883,2599.0,2726.0,GM,GM,1/2-1/2
2019-09-12,1.5,13402129,2004887,2593.0,2705.0,GM,GM,1-0
2019-09-12,1.5,5072786,400041,2609.0,2694.0,GM,GM,1/2-1/2
2019-09-12,1.5,2805677,8603332,2686.0,2602.0,GM,GM,1-0
2019-09-12,1.5,14105730,5010608,2679.0,2609.0,GM,GM,1-0
2019-09-12,1.5,5002150,24130737,2658.0,2664.0,GM,GM,0-1
2019-09-12,1.5,1130420,13402960,2660.0,2632.0,GM,GM,0-1
2019-09-12,1.6,8603820,12500739,2763.0,2544.0,GM,GM,1-0
2019-09-12,1.6,8608288,8601445,2576.0,2721.0,GM,GM,1/2-1/2
2019-09-12,1.6,8602883,4127870,2726.0,2599.0,GM,GM,1-0
2019-09-12,1.6,2004887,13402129,2705.0,2593.0,GM,GM,1/2-1/2
2019-09-12,1.6,400041,5072786,2694.0,2609.0,GM,GM,1/2-1/2
2019-09-12,1.6,8603332,2805677,2602.0,2686.0,GM,GM,0-1
2019-09-12,1.6,5010608,14105730,2609.0,2679.0,GM,GM,0-1
2019-09-12,1.6,24130737,5002150,2664.0,2658.0,GM,GM,1-0
2019-09-12,1.6,13402960,1130420,2632.0,2660.0,GM,GM,0-1
2019-09-12,1.7,400041,5072786,2694.0,2609.0,GM,GM,1/2-1/2
2019-09-12,1.7,13402960,1130420,2632.0,2660.0,GM,GM,1/2-1/2
2019-09-12,1.8,5072786,400041,2609.0,2694.0,GM,GM,1-0
2019-09-12,1.8,1130420,13402960,2660.0,2632.0,GM,GM,0-1
2019-09-13,2.1,8603677,310204,2811.0,2654.0,GM,GM,1/2-1/2
2019-09-13,2.1,4118987,24116068,2635.0,2780.0,GM,GM,1/2-1/2
2019-09-13,2.1,623539,14117908,2774.0,2674.0,GM,GM,1-0
2019-09-13,2.1,4160258,5202213,2655.0,2767.0,GM,GM,1/2-1/2
2019-09-13,2.1,4168119,24107581,2776.0,2657.0,GM,GM,1/2-1/2
2019-09-13,2.1,12539929,13300474,2664.0,2758.0,GM,GM,0-1
2019-09-13,2.1,13401319,14200244,2767.0,2657.0,GM,GM,1-0
2019-09-13,2.1,13402960,3503240,2632.0,2763.0,GM,GM,1/2-1/2
